dispatching_base_number,date,active_vehicles,trips,pickup_datetime,year,month,day,hour,weekday,is_weekend
B02598,2015-02-23,966,8943,2015-02-23,2015,2,23,0,Monday,False
B02617,2015-02-23,1332,11720,2015-02-23,2015,2,23,0,Monday,False
B02764,2015-02-23,3734,31173,2015-02-23,2015,2,23,0,Monday,False
B02682,2015-02-23,1262,11714,2015-02-23,2015,2,23,0,Monday,False
B02765,2015-02-23,665,5823,2015-02-23,2015,2,23,0,Monday,False
B02512,2015-02-23,238,1844,2015-02-23,2015,2,23,0,Monday,False
B02764,2015-02-24,3965,34686,2015-02-24,2015,2,24,0,Tuesday,False
B02512,2015-02-24,247,1869,2015-02-24,2015,2,24,0,Tuesday,False
B02598,2015-02-24,1061,9954,2015-02-24,2015,2,24,0,Tuesday,False
B02682,2015-02-24,1346,12497,2015-02-24,2015,2,24,0,Tuesday,False
B02617,2015-02-24,1456,13719,2015-02-24,2015,2,24,0,Tuesday,False
B02765,2015-02-24,698,6390,2015-02-24,2015,2,24,0,Tuesday,False
B02512,2015-02-25,246,1647,2015-02-25,2015,2,25,0,Wednesday,False
B02598,2015-02-25,1076,9405,2015-02-25,2015,2,25,0,Wednesday,False
B02765,2015-02-25,706,6178,2015-02-25,2015,2,25,0,Wednesday,False
B02682,2015-02-25,1395,12693,2015-02-25,2015,2,25,0,Wednesday,False
B02617,2015-02-25,1473,12811,2015-02-25,2015,2,25,0,Wednesday,False
B02764,2015-02-25,3934,31957,2015-02-25,2015,2,25,0,Wednesday,False
B02598,2015-02-26,1134,10661,2015-02-26,2015,2,26,0,Thursday,False
B02617,2015-02-26,1539,14461,2015-02-26,2015,2,26,0,Thursday,False
B02682,2015-02-26,1465,13814,2015-02-26,2015,2,26,0,Thursday,False
B02512,2015-02-26,243,1797,2015-02-26,2015,2,26,0,Thursday,False
B02765,2015-02-26,745,6744,2015-02-26,2015,2,26,0,Thursday,False
B02764,2015-02-26,4101,36091,2015-02-26,2015,2,26,0,Thursday,False
B02765,2015-02-27,786,7563,2015-02-27,2015,2,27,0,Friday,False
B02617,2015-02-27,1551,14677,2015-02-27,2015,2,27,0,Friday,False
B02598,2015-02-27,1114,10755,2015-02-27,2015,2,27,0,Friday,False
B02512,2015-02-27,272,2056,2015-02-27,2015,2,27,0,Friday,False
